날짜,종가,시가,고가,저가,거래량,변동 %
2022-12-30,182.74,181.12,182.99,180.81,,0.0094
2022-12-29,181.03,182.65,182.74,180.82,,-0.0084
2022-12-28,182.57,182.79,182.99,181.54,,-0.0008
2022-12-27,182.72,183.12,183.22,181.68,,-0.0012
2022-12-26,182.94,183.10,183.49,182.35,,-0.0004
2022-12-23,183.01,184.97,185.07,182.93,,-0.0102
2022-12-22,184.89,183.40,185.05,182.38,,0.0091
2022-12-21,183.22,184.44,185.15,183.33,,-0.0061
2022-12-20,184.34,186.49,187.04,183.99,,-0.0109
2022-12-19,186.37,188.08,188.27,185.94,,-0.0072
2022-12-16,187.72,189.21,189.29,187.29,,-0.0068
2022-12-15,189.01,186.44,189.40,186.11,,0.0143
2022-12-14,186.34,185.70,187.40,185.59,,0.0040
2022-12-13,185.59,187.32,188.21,185.59,,-0.0085
2022-12-12,187.18,187.39,188.63,186.79,,-0.0007
2022-12-09,187.31,189.00,189.20,186.65,,-0.0078
2022-12-08,188.79,188.59,189.84,188.54,,0.0016
2022-12-07,188.49,188.70,189.71,188.04,,-0.0005
2022-12-06,188.58,187.55,189.24,186.93,,0.0059
2022-12-05,187.48,185.08,187.74,184.13,,0.0141
2022-12-02,184.88,185.19,186.38,183.80,,-0.0011
2022-12-01,185.09,183.54,185.57,182.68,,0.0092
2022-11-30,183.41,185.17,186.18,183.38,,-0.0089
2022-11-29,185.06,186.11,186.30,184.30,,-0.0042
2022-11-28,185.84,186.45,187.02,185.07,,-0.0020
2022-11-25,186.21,185.68,186.55,184.27,,0.0041
2022-11-24,185.45,186.73,187.32,185.20,,-0.0063
2022-11-23,186.63,189.50,189.56,186.57,,-0.0147
2022-11-22,189.42,189.75,190.21,188.89,,-0.0013
2022-11-21,189.67,188.43,190.15,188.41,,0.0080
2022-11-18,188.16,187.66,188.54,186.76,,0.0031
2022-11-17,187.58,188.60,188.85,187.45,,-0.0046
2022-11-16,188.45,186.90,188.90,186.43,,0.0087
2022-11-15,186.83,187.21,188.12,185.96,,-0.0013
2022-11-14,187.07,185.63,188.81,184.18,,0.0124
2022-11-11,184.77,187.86,187.93,184.31,,-0.0158
2022-11-10,187.74,189.35,191.93,187.72,,-0.0082
2022-11-09,189.29,189.68,190.43,187.57,,-0.0020
2022-11-08,189.66,192.74,192.99,189.04,,-0.0149
2022-11-07,192.52,196.49,196.70,192.43,,-0.0139
