날짜,종가,시가,고가,저가,거래량,변동 %
2017-01-03,1162.00,1151.40,1166.00,1146.50,229.18K,0.0089
2017-01-04,1165.30,1159.60,1168.60,1156.70,179.88K,0.0028
2017-01-05,1181.30,1164.60,1185.90,1163.60,272.12K,0.0137
2017-01-06,1173.40,1181.00,1183.80,1171.10,226.43K,-0.0067
2017-01-09,1184.90,1172.90,1186.40,1172.20,179.03K,0.0098
2017-01-10,1185.50,1181.30,1190.60,1180.20,224.81K,0.0005
2017-01-11,1196.60,1188.10,1198.50,1177.00,328.69K,0.0094
2017-01-12,1199.80,1191.10,1207.20,1190.70,269.32K,0.0027
2017-01-13,1196.20,1194.80,1201.80,1187.50,288.62K,-0.0030
2017-01-16,1212.90,1199.40,1218.90,1198.00,381.42K,0.0140
2017-01-17,1214.30,1200.80,1220.00,1200.80,0.70K,0.0012
2017-01-18,1212.10,1216.80,1217.70,1201.80,203.65K,-0.0018
2017-01-19,1201.50,1203.10,1206.40,1195.40,247.40K,-0.0087
2017-01-20,1204.90,1204.80,1214.80,1198.20,244.34K,0.0028
2017-01-23,1215.60,1209.30,1219.40,1209.00,237.41K,0.0089
2017-01-24,1210.80,1218.00,1220.10,1206.20,216.01K,-0.0039
2017-01-25,1197.80,1208.60,1209.30,1192.60,299.18K,-0.0107
2017-01-26,1189.80,1200.70,1202.30,1183.90,244.31K,-0.0067
2017-01-27,1191.10,1191.40,1193.80,1182.60,143.61K,0.0011
2017-01-30,1196.00,1194.60,1201.30,1190.00,191.77K,0.0041
2017-01-31,1211.40,1197.70,1217.40,1195.60,246.90K,0.0129
2017-02-01,1208.30,1212.20,1215.00,1199.70,217.09K,-0.0026
2017-02-02,1219.40,1211.20,1227.50,1210.20,232.06K,0.0092
2017-02-03,1220.80,1217.80,1223.20,1208.30,217.98K,0.0011
2017-02-06,1232.10,1221.90,1237.50,1220.80,197.32K,0.0093
2017-02-07,1236.10,1236.90,1237.50,1229.20,202.31K,0.0032
2017-02-08,1239.50,1235.20,1246.60,1231.30,221.91K,0.0028
2017-02-09,1236.80,1242.70,1246.20,1226.10,246.14K,-0.0022
2017-02-10,1235.90,1229.60,1238.90,1222.60,240.05K,-0.0007
2017-02-13,1225.80,1234.20,1234.40,1220.30,176.62K,-0.0082
2017-02-14,1225.40,1226.10,1236.00,1222.70,233.75K,-0.0003
2017-02-15,1233.10,1228.60,1234.90,1217.50,226.71K,0.0063
2017-02-16,1241.60,1234.30,1243.70,1233.30,203.79K,0.0069
2017-02-17,1239.10,1240.80,1245.10,1235.30,164.41K,-0.0020
2017-02-20,1238.90,1236.40,1240.20,1226.80,259.51K,-0.0002
2017-02-21,1238.90,1236.40,1240.20,1226.80,259.51K,0.0000
2017-02-22,1233.30,1236.90,1241.90,1231.50,201.34K,-0.0045
2017-02-23,1251.40,1238.30,1252.20,1236.40,264.97K,0.0147
2017-02-24,1258.30,1250.60,1261.20,1248.80,220.13K,0.0055
2017-02-27,1258.80,1258.90,1264.90,1251.50,208.49K,0.0004
2017-02-28,1253.90,1253.30,1259.30,1248.20,234.94K,-0.0039
2017-03-01,1250.00,1248.50,1251.40,1237.20,318.04K,-0.0031
2017-03-02,1232.90,1249.90,1250.80,1231.10,272.76K,-0.0137
2017-03-03,1226.50,1234.80,1236.70,1223.00,272.29K,-0.0052
2017-03-06,1225.50,1233.90,1237.30,1225.00,156.98K,-0.0008
2017-03-07,1216.10,1225.70,1227.40,1214.10,203.71K,-0.0077
2017-03-08,1209.40,1215.60,1218.50,1206.40,211.11K,-0.0055
2017-03-09,1203.20,1207.70,1208.90,1199.00,233.51K,-0.0051
2017-03-10,1201.40,1200.20,1206.20,1194.50,257.84K,-0.0015
2017-03-13,1203.10,1205.00,1210.90,1202.00,173.92K,0.0014
2017-03-14,1202.60,1203.50,1207.50,1196.90,183.72K,-0.0004
