날짜,종가,시가,고가,저가,거래량,변동 %
2017-01-03,2257.83,2251.57,2263.88,2245.13,,0.0085
2017-01-04,2270.75,2261.60,2272.82,2261.60,,0.0057
2017-01-05,2269.00,2268.18,2271.50,2260.45,,-0.0008
2017-01-06,2276.98,2271.14,2282.10,2264.06,,0.0035
2017-01-09,2268.90,2273.59,2275.49,2268.90,,-0.0035
2017-01-10,2268.90,2269.72,2279.27,2265.27,,0.0000
2017-01-11,2275.32,2268.60,2275.32,2260.83,,0.0028
2017-01-12,2270.44,2271.14,2271.78,2254.25,,-0.0021
2017-01-13,2274.64,2272.74,2278.68,2271.51,,0.0018
2017-01-17,2267.89,2269.14,2272.08,2262.81,,-0.0030
2017-01-18,2271.89,2269.14,2272.01,2263.35,,0.0018
2017-01-19,2263.69,2271.90,2274.33,2258.41,,-0.0036
2017-01-20,2271.31,2269.96,2276.96,2265.01,,0.0034
2017-01-23,2265.20,2267.78,2271.78,2257.02,,-0.0027
2017-01-24,2280.07,2267.88,2284.63,2266.68,,0.0066
2017-01-25,2298.37,2288.88,2299.55,2288.88,,0.0080
2017-01-26,2296.68,2298.63,2300.99,2294.08,,-0.0007
2017-01-27,2294.69,2299.02,2299.02,2291.62,,-0.0009
2017-01-30,2280.90,2286.01,2286.01,2268.04,,-0.0060
2017-01-31,2278.87,2274.02,2279.09,2267.21,,-0.0009
2017-02-01,2279.55,2285.59,2289.14,2272.44,,0.0003
2017-02-02,2280.85,2276.69,2283.97,2271.65,,0.0006
2017-02-03,2297.42,2288.54,2298.31,2287.88,,0.0073
2017-02-06,2292.56,2294.28,2296.18,2288.57,,-0.0021
2017-02-07,2293.08,2295.87,2299.40,2290.16,,0.0002
2017-02-08,2294.67,2289.55,2295.91,2285.38,,0.0007
2017-02-09,2307.87,2296.70,2311.08,2296.61,,0.0058
2017-02-10,2316.10,2312.27,2319.23,2311.10,,0.0036
2017-02-13,2328.25,2321.72,2331.58,2321.42,,0.0052
2017-02-14,2337.58,2326.12,2337.58,2322.17,,0.0040
2017-02-15,2349.25,2335.58,2351.30,2334.81,,0.0050
2017-02-16,2347.22,2349.64,2351.31,2338.87,,-0.0009
2017-02-17,2351.16,2343.01,2351.16,2339.58,,0.0017
2017-02-21,2365.38,2354.91,2366.71,2354.91,,0.0060
2017-02-22,2362.82,2361.11,2365.13,2358.34,,-0.0011
2017-02-23,2363.81,2367.50,2368.26,2355.09,,0.0004
2017-02-24,2367.34,2355.73,2367.34,2352.87,,0.0015
2017-02-27,2369.75,2365.23,2371.54,2361.87,,0.0010
2017-02-28,2363.64,2366.08,2367.79,2358.96,,-0.0026
2017-03-01,2395.96,2380.13,2400.98,2380.13,,0.0137
2017-03-02,2381.92,2394.75,2394.75,2380.17,,-0.0059
2017-03-03,2383.12,2380.92,2383.89,2375.39,,0.0005
2017-03-06,2375.31,2375.23,2378.80,2367.98,,-0.0033
2017-03-07,2368.39,2370.74,2375.12,2365.51,,-0.0029
2017-03-08,2362.98,2369.81,2373.09,2361.01,,-0.0023
2017-03-09,2364.87,2363.49,2369.08,2354.54,,0.0008
2017-03-10,2372.60,2372.52,2376.86,2363.04,,0.0033
2017-03-13,2373.47,2371.56,2374.42,2368.52,,0.0004
2017-03-14,2365.45,2368.55,2368.55,2358.18,,-0.0034
2017-03-15,2385.26,2370.34,2390.01,2368.94,,0.0084
2017-03-16,2381.38,2387.71,2388.10,2377.18,,-0.0016
2017-03-17,2378.25,2383.71,2385.71,2377.64,,-0.0013
2017-03-20,2373.47,2378.24,2379.55,2369.66,,-0.0020
2017-03-21,2344.02,2379.32,2381.93,2341.90,,-0.0124
2017-03-22,2348.45,2343.00,2351.81,2336.45,,0.0019
2017-03-23,2345.96,2345.97,2358.92,2342.13,,-0.0011
2017-03-24,2343.98,2350.42,2356.22,2335.74,,-0.0008
2017-03-27,2341.59,2329.11,2344.90,2322.25,,-0.0010
2017-03-28,2358.57,2339.79,2363.78,2337.63,,0.0073
2017-03-29,2361.13,2356.54,2363.36,2352.94,,0.0011
2017-03-30,2368.06,2361.31,2370.42,2358.58,,0.0029
2017-03-31,2362.72,2364.82,2370.35,2362.60,,-0.0023
2017-04-03,2358.84,2362.34,2365.87,2344.73,,-0.0016
2017-04-04,2360.16,2354.76,2360.53,2350.72,,0.0006
2017-04-05,2352.95,2366.59,2378.36,2350.52,,-0.0031
2017-04-06,2357.49,2353.79,2364.16,2348.90,,0.0019
2017-04-07,2355.54,2356.59,2363.76,2350.74,,-0.0008
2017-04-10,2357.16,2357.16,2366.37,2351.50,,0.0007
2017-04-11,2353.78,2353.92,2355.22,2337.25,,-0.0014
2017-04-12,2344.93,2352.15,2352.72,2341.18,,-0.0038
2017-04-13,2328.95,2341.98,2348.26,2328.95,,-0.0068
2017-04-17,2349.01,2332.62,2349.14,2332.51,,0.0086
2017-04-18,2342.19,2342.53,2348.35,2334.54,,-0.0029
2017-04-19,2338.17,2346.79,2352.63,2335.05,,-0.0017
2017-04-20,2355.84,2342.69,2361.37,2340.91,,0.0076
2017-04-21,2348.69,2354.74,2356.18,2344.51,,-0.0030
2017-04-24,2374.15,2370.33,2376.98,2369.19,,0.0108
2017-04-25,2388.61,2381.51,2392.48,2381.15,,0.0061
2017-04-26,2387.45,2388.98,2398.16,2386.76,,-0.0005
2017-04-27,2388.77,2389.70,2392.10,2382.68,,0.0006
2017-04-28,2384.20,2393.68,2393.68,2382.36,,-0.0019
2017-05-01,2388.33,2388.50,2394.49,2384.83,,0.0017
2017-05-02,2391.17,2391.05,2392.93,2385.82,,0.0012
2017-05-03,2388.13,2386.50,2389.82,2379.75,,-0.0013
2017-05-04,2389.52,2389.79,2391.43,2380.35,,0.0006
2017-05-05,2399.29,2392.37,2399.29,2389.38,,0.0041
2017-05-08,2399.38,2399.94,2401.36,2393.92,,0.0000
2017-05-09,2396.92,2401.58,2403.87,2392.44,,-0.0010
2017-05-10,2399.63,2396.79,2399.74,2392.79,,0.0011
2017-05-11,2394.44,2394.84,2395.72,2381.74,,-0.0022
2017-05-12,2390.90,2392.44,2392.44,2387.19,,-0.0015
2017-05-15,2402.32,2393.98,2404.05,2393.94,,0.0048
2017-05-16,2400.67,2404.55,2405.77,2396.05,,-0.0007
2017-05-17,2357.03,2382.95,2384.87,2356.21,,-0.0182
2017-05-18,2365.72,2354.69,2375.74,2352.72,,0.0037
2017-05-19,2381.73,2371.37,2389.06,2370.43,,0.0068
2017-05-22,2394.02,2387.21,2395.46,2386.92,,0.0052
2017-05-23,2398.42,2397.04,2400.85,2393.88,,0.0018
2017-05-24,2404.39,2401.41,2405.58,2397.99,,0.0025
2017-05-25,2415.07,2409.54,2418.71,2408.01,,0.0044
2017-05-26,2415.82,2414.50,2416.68,2412.20,,0.0003
2017-05-30,2412.91,2411.67,2415.26,2409.43,,-0.0012
2017-05-31,2411.80,2415.63,2415.99,2403.59,,-0.0005
2017-06-01,2430.06,2415.65,2430.06,2413.54,,0.0076
2017-06-02,2439.07,2431.28,2440.23,2427.71,,0.0037
2017-06-05,2436.10,2437.83,2439.55,2434.32,,-0.0012
2017-06-06,2429.33,2431.92,2436.21,2428.12,,-0.0028
2017-06-07,2433.14,2432.03,2435.28,2424.75,,0.0016
2017-06-08,2433.79,2434.27,2439.27,2427.94,,0.0003
2017-06-09,2431.77,2436.39,2446.20,2415.70,,-0.0008
2017-06-12,2429.39,2425.88,2430.38,2419.97,,-0.0010
2017-06-13,2440.35,2434.15,2441.49,2431.28,,0.0045
2017-06-14,2437.92,2443.75,2443.75,2428.34,,-0.0010
2017-06-15,2432.46,2424.14,2433.95,2418.53,,-0.0022
2017-06-16,2433.15,2431.24,2433.15,2422.88,,0.0003
2017-06-19,2453.46,2442.55,2453.82,2441.79,,0.0083
2017-06-20,2437.03,2450.66,2450.66,2436.60,,-0.0067
2017-06-21,2435.61,2439.31,2442.23,2430.74,,-0.0006
2017-06-22,2434.50,2437.40,2441.62,2433.27,,-0.0005
2017-06-23,2438.30,2434.65,2441.40,2431.11,,0.0016
2017-06-26,2439.07,2443.32,2450.42,2437.03,,0.0003
2017-06-27,2419.38,2436.34,2440.15,2419.38,,-0.0081
2017-06-28,2440.69,2428.70,2442.97,2428.02,,0.0088
2017-06-29,2419.70,2442.38,2442.73,2405.70,,-0.0086
2017-06-30,2423.41,2429.20,2432.71,2421.65,,0.0015
2017-07-03,2429.01,2431.39,2439.17,2428.69,,0.0023
2017-07-05,2432.54,2430.78,2434.90,2422.05,,0.0015
2017-07-06,2409.75,2423.44,2424.28,2407.70,,-0.0094
2017-07-07,2425.18,2413.52,2426.92,2413.52,,0.0064
2017-07-10,2427.43,2424.51,2432.00,2422.27,,0.0009
