날짜,종가,시가,고가,저가,거래량,변동 %
2022-12-30,1260.92,1261.24,1265.34,1253.26,,0.0001
2022-12-29,1260.85,1274.71,1275.32,1259.19,,-0.0106
2022-12-28,1274.37,1272.25,1276.66,1265.57,,0.0020
2022-12-27,1271.79,1274.91,1275.63,1264.85,,-0.0017
2022-12-26,1273.91,1279.80,1282.20,1273.89,,-0.0044
2022-12-23,1279.55,1291.94,1292.57,1278.05,,-0.0094
2022-12-22,1291.64,1280.37,1292.51,1272.36,,0.0097
2022-12-21,1279.21,1284.06,1289.91,1279.91,,-0.0035
2022-12-20,1283.71,1301.65,1305.45,1281.52,,-0.0135
2022-12-19,1301.29,1311.55,1311.58,1296.85,,-0.0062
2022-12-16,1309.47,1319.51,1320.05,1304.73,,-0.0069
2022-12-15,1318.51,1295.91,1320.61,1293.61,,0.0178
2022-12-14,1295.42,1289.57,1302.55,1288.77,,0.0049
2022-12-13,1289.13,1307.07,1309.66,1288.79,,-0.0130
2022-12-12,1306.08,1303.95,1314.15,1303.26,,0.0017
2022-12-09,1303.87,1316.82,1318.23,1298.73,,-0.0091
2022-12-08,1315.83,1314.77,1323.95,1314.48,,0.0011
2022-12-07,1314.38,1320.13,1326.55,1312.56,,-0.0041
2022-12-06,1319.79,1305.73,1323.12,1301.45,,0.0110
2022-12-05,1305.49,1299.17,1307.05,1289.40,,0.0059
2022-12-02,1297.89,1304.56,1308.34,1295.47,,-0.0049
2022-12-01,1304.23,1301.72,1308.23,1295.15,,0.0020
2022-11-30,1301.65,1325.67,1330.01,1300.60,,-0.0179
2022-11-29,1325.36,1341.53,1342.89,1322.84,,-0.0107
2022-11-28,1339.75,1335.95,1342.87,1332.43,,0.0039
2022-11-25,1334.48,1328.03,1336.78,1319.27,,0.0059
2022-11-24,1326.69,1337.09,1340.75,1324.12,,-0.0076
2022-11-23,1336.85,1353.01,1355.86,1335.96,,-0.0117
2022-11-22,1352.65,1359.61,1362.97,1351.01,,-0.0049
2022-11-21,1359.30,1341.55,1362.64,1341.44,,0.0146
2022-11-18,1339.71,1342.99,1344.94,1335.85,,-0.0022
2022-11-17,1342.65,1337.00,1352.56,1330.45,,0.0045
2022-11-16,1336.65,1316.56,1339.09,1315.17,,0.0155
2022-11-15,1316.21,1324.27,1327.51,1308.13,,-0.0058
2022-11-14,1323.87,1319.50,1332.06,1309.20,,0.0077
