date,close,open,high,low
2022-01-02,390.85,397.16,399.44,385.3
2022-01-09,387.45,389.68,395.93,384.79
2022-01-16,376.08,387,387.33,373.35
2022-01-23,357.98,374.64,375.45,347.28
2022-01-30,366.34,364.07,366.79,361.6
2022-02-06,368.61,365.4,372.86,359.59
2022-02-13,368.55,364.36,373.03,358.75
2022-02-20,358.44,362.83,368.75,354.01
2022-02-27,361.69,356.59,367.4,355.77
2022-03-06,355.31,356.59,358.27,346.85
2022-03-13,362.33,354.72,364.18,350.38
2022-03-20,362.06,363.81,366.4,358.41
2022-03-27,363.19,360.63,367.01,358.7
2022-04-03,356.01,361.85,366.67,354.27
2022-04-10,353.84,354.47,359.43,351.37
2022-04-17,355.43,352.19,360.74,351.46
2022-04-24,355.08,351.36,355.34,343.76
2022-05-01,349,351.31,356.45,347.98
2022-05-08,345.5,347.71,349.4,337.65
2022-05-15,349.29,348.13,351.2,340.55
2022-05-22,348.04,351.16,351.41,342.65
2022-05-29,352.01,351.53,354.72,349.55
2022-06-05,341.89,350.04,350.53,340.66
2022-06-12,320.09,335.76,335.97,314.79
2022-06-19,312.07,321.46,321.62,304.13
2022-06-26,304.02,314.31,319.11,301.95
2022-07-03,310.15,304.46,313.01,300.82
2022-07-10,307.91,311.05,311.86,302.1
2022-07-17,317.33,311.06,320.94,310.6
2022-07-24,323.31,316.4,325.83,316.2
2022-07-31,327.5,322.14,328.47,320.21
2022-08-07,330.67,326.05,331.12,323.86
2022-08-14,326.79,332.68,333.47,326.06
2022-08-21,323.91,323.29,326.59,318.16
2022-08-28,312.92,317.45,323.37,312.18
2022-09-04,309.12,313.09,315.22,306.69
2022-09-11,308.69,313.93,319.37,307.03
2022-09-18,297.74,309.58,309.98,296.85
2022-09-25,281.36,293.65,293.96,278.39
2022-10-02,290.41,286.25,294.47,285.42
2022-10-09,289.36,284.39,290.32,282.04
2022-10-16,288.57,285.89,295.34,284.91
2022-10-23,295.06,293.6,299.19,290.52
2022-10-30,304.33,298.61,305.1,296.45
2022-11-06,323.09,306.08,323.51,305.05
2022-11-13,317.12,323.41,324.73,316.7
2022-11-20,316.07,317.22,318.1,311.69
2022-11-27,315.02,313.89,325.49,311.07
2022-12-04,311.63,316.26,317.07,306.01
2022-12-11,307.48,309.38,313.41,303.09
2022-12-18,302.07,306.33,307.99,301.47
2022-12-25,291.1,301.76,305.02,291.1
